,true_is_max,true_dist_from_max,true_average_dist_from_max,true_average_dist,true_temp,random_choiceis_max,random_choicedist_from_max,random_choiceaverage_dist_from_max,random_choiceaverage_dist,random_choicetemp,random_probabilitiesis_max,random_probabilitiesdist_from_max,random_probabilitiesaverage_dist_from_max,random_probabilitiesaverage_dist,random_probabilitiestemp,best_is_max,best_dist_from_max,best_average_dist_from_max,best_average_dist,best_temp,all_one_is_max,all_one_dist_from_max,all_one_average_dist_from_max,all_one_average_dist,all_one_temp
20,1,1.0,0.7605440323585088,0.6221658948783888,0.8135489302211806,0,0.7514773237478248,0.7514773237478248,0.7514773237478248,0.8007374029168081,0,0.030197436267759312,0.030197436267759312,0.2975375041849303,0.45942582403592663,1,1.0,0.7605440323585088,0.6779651316224581,0.8135489302211806,1,1.0,0.3197043679551164,0.3197043679551164,0.5580351457700471
21,1,1.0,0.7874480777193423,0.4345786060410214,0.8305108499010163,0,0.0001234109147788037,0.0001234109147788037,0.0001234109147788037,0.4065696597405991,0,0.22313024382223465,0.22313024382223465,0.29790131974047956,0.5488116360940265,1,1.0,0.7874480777193423,0.5162725613129732,0.8305108499010163,1,1.0,0.3622540303863759,0.3622540303863759,0.5886049696783553
22,1,1.0,1.0,0.5116603722887948,1.0,1,1.0,1.0,1.0,1.0,0,0.0001234109147788037,0.0001234109147788037,0.2636350285937987,0.4065696597405991,1,1.0,1.0,0.5116603722887948,1.0,1,1.0,0.3410903068566836,0.3410903068566836,0.5733551191770804
23,0,0.5737534561543077,0.5737534561543077,0.5406520107555397,0.6996725373751304,0,0.5737534561543077,0.5737534561543077,0.5737534561543077,0.6996725373751304,0,0.9259610841213752,0.9259610841213753,0.5550841978139524,0.9310627797040227,0,0.5737534561543077,0.5737534561543077,0.680595709567846,0.6996725373751304,1,1.0,0.4665082866248612,0.4665082866248612,0.6494190930821688
24,1,1.0,0.7605440323585088,0.4247549381985887,0.8135489302211806,0,0.13533537346013486,0.13533537346013486,0.13533537346013486,0.513417119032592,0,0.030197436267759312,0.030197436267759312,0.32388826576274343,0.4594258240359266,1,1.0,0.7605440323585088,0.48935292796969393,0.8135489302211806,1,1.0,0.33653091363696486,0.33653091363696486,0.5704079292483255
25,0,0.0067379806888709926,0.0067379806888709926,0.436912945548255,0.4345982085070782,0,0.0067379806888709926,0.0067379806888709926,0.0067379806888709926,0.4345982085070782,0,0.0067379806888709926,0.0067379806888709926,0.47373264878541066,0.4345982085070782,0,0.0067379806888709926,0.0067379806888709926,0.4957923731048152,0.43459820850707825,1,1.0,0.44276626989360474,0.44276626989360474,0.6347364189402819
26,0,0.6703200996612344,0.5383511274268978,0.5978904308773212,0.6832104226749482,0,0.6703200996612344,0.6703200996612344,0.6703200996612344,0.751477293075286,0,0.4723666413097295,0.47236664130972944,0.5753308157099273,0.6514390575310556,0,0.6703200996612344,0.5383511274268978,0.5978904308773212,0.6832104226749482,1,1.0,0.6272756429968197,0.6272756429968197,0.7337962998500867
27,1,1.0,0.6064565867425423,0.5391643277359341,0.7251124219221319,0,0.0,0.0,0.0,0.36787944117144233,0,0.0,0.0,0.3261507497995123,0.36787944117144233,1,1.0,0.7509950562400304,0.5776790056457699,0.8071177470053893,1,1.0,0.4047175190032297,0.4047175190032297,0.592260016295893
28,0,0.6703200996612344,0.571343370485482,0.6262900205419429,0.6996725373751304,1,1.0,1.0,1.0,1.0,0,0.4723666413097295,0.47236664130972955,0.3851213323252407,0.6514390575310556,1,1.0,0.6537633455701733,0.6537633455701733,0.751477293075286,1,1.0,0.44150544597543107,0.44150544597543107,0.6361117952584976
29,1,1.0,0.7402759378821461,0.6921003703211204,0.7985162187593771,0,0.4895417095101791,0.4895417095101791,0.4895417095101791,0.6592406302004438,0,0.4895417095101791,0.48954170951017906,0.40674295779155845,0.6592406302004438,1,1.0,0.7402759378821461,0.700135257890751,0.7985162187593771,1,1.0,0.4468222389059562,0.4468222389059562,0.6376281516217733
